timestamp,agent.name,rule.description,rule.level,rule.id
"May 13, 2026 @ 17:23:13.115",nginx-proxy,Web server 400 error code.,5,31101
"May 13, 2026 @ 17:23:13.115",nginx-proxy,Web server 400 error code.,5,31101
"May 13, 2026 @ 17:23:13.115",nginx-proxy,Web server 400 error code.,5,31101
"May 13, 2026 @ 17:16:08.975",nginx-proxy,Wazuh agent started.,3,503
"May 12, 2026 @ 21:15:31.714",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 12, 2026 @ 21:14:43.709",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 12, 2026 @ 21:12:05.696",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 12, 2026 @ 21:09:41.724",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 12, 2026 @ 21:02:53.654",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 12, 2026 @ 21:01:59.647",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 12, 2026 @ 20:49:59.578",nginx-proxy,Web server 400 error code.,5,31101
"May 12, 2026 @ 20:49:55.577",nginx-proxy,Web server 400 error code.,5,31101
"May 12, 2026 @ 20:48:47.572",nginx-proxy,Web server 400 error code.,5,31101
"May 12, 2026 @ 20:29:55.458",nginx-proxy,Web server 400 error code.,5,31101
"May 12, 2026 @ 20:28:37.450",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 22:02:40.247",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 22:02:32.246",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 22:01:38.243",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 22:00:38.237",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 22:00:18.236",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 21:59:58.234",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:59:42.233",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:59:22.230",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:55:04.211",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 21:47:36.171",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:45:42.162",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:45:34.161",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:44:50.157",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 21:44:42.156",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 21:44:32.155",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 21:44:24.154",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 21:44:06.153",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 21:41:46.137",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:40:36.129",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 21:40:28.129",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:39:04.119",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:39:00.118",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:38:46.117",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:37:28.106",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 21:36:38.103",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:36:32.102",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:33:38.087",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:33:32.086",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:33:24.085",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:33:14.083",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 21:33:04.082",nginx-proxy,Web server 500 error code (Internal Error).,5,31122
"May 11, 2026 @ 20:08:19.451",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 19:40:33.236",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 19:40:27.276",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 18:54:34.975",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 18:52:18.966",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 18:50:50.957",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 18:47:32.940",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 18:47:12.939",nginx-proxy,Web server 400 error code.,5,31101
"May 11, 2026 @ 18:37:30.912",nginx-proxy,Web server 400 error code.,5,31101
